model_name,manual_count,manual_mean,manual_std,llm_count,llm_mean,llm_std
base_model,22,1.8409090909090908,3.109648439922658,22,0.5454545454545454,1.9934959177349658
dpo_model,22,6.8522727272727275,1.6432746975480794,22,3.0454545454545454,2.339663645489662
grpo_model,22,4.511363636363637,3.3554125364913463,22,3.6818181818181817,4.35765733957794
ppo_model,22,0.0,0.0,22,1.7727272727272727,1.509708839220589
sft_model,22,2.25,3.198772085839011,22,1.8636363636363635,3.1059919747459337
